printed_page_label,candidate_clause_id,candidate_title,lexical_score,lexical_rank,vector_score,vector_rank,retrieved_by,agreement,review_state,evidence_locator,review_decision,review_notes,ir_source_file,ir_source_line,evidence_snippet,evidence_status,manual_decision,manual_reason
65,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,0.037154,1,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,3,自2023年起，我們向董事及高級管理層發放了評估問卷，以定量和定性地評估氣候相關風險。2024年，我們對24個關鍵部門的主要領導人進行了深入訪談，特別針對越秀地產的產品與客研中心、資本經營部、成本招採中心、工程技術中心、戰略投資中心等，分析了上年度的關鍵氣候物理及轉型風險，並規劃了應對措施。此次評估旨在全面了解各部門在面對氣候風險時的脆弱性，並制定科學的應對策略。通過與各部門領導人的交流，我們識別出對業務運營具有重大影響的風險，為制定有效的風險管理措施提供基礎。此外，業務部門負責人評估了風險及機遇的促成因素，包括現行及計劃中的措施和管控措施，並分析了這些風險對財務表現的潛在影響。我們將評估結果納入精算風險模型，以預測氣候相關風險的潛在影響程度，並最終對氣候風險進行了優先級排序。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
65,gri_305_1,Direct (Scope 1) GHG emissions,,,0.003920,5,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
65,gri_3_3,Management of material topics,3.0,3,0.006995,4,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,3,自2023年起，我們向董事及高級管理層發放了評估問卷，以定量和定性地評估氣候相關風險。2024年，我們對24個關鍵部門的主要領導人進行了深入訪談，特別針對越秀地產的產品與客研中心、資本經營部、成本招採中心、工程技術中心、戰略投資中心等，分析了上年度的關鍵氣候物理及轉型風險，並規劃了應對措施。此次評估旨在全面了解各部門在面對氣候風險時的脆弱性，並制定科學的應對策略。通過與各部門領導人的交流，我們識別出對業務運營具有重大影響的風險，為制定有效的風險管理措施提供基礎。此外，業務部門負責人評估了風險及機遇的促成因素，包括現行及計劃中的措施和管控措施，並分析了這些風險對財務表現的潛在影響。我們將評估結果納入精算風險模型，以預測氣候相關風險的潛在影響程度，並最終對氣候風險進行了優先級排序。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
65,hkex_c2_20,Climate-related risks and opportunities,9.0,2,0.034682,2,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,3,自2023年起，我們向董事及高級管理層發放了評估問卷，以定量和定性地評估氣候相關風險。2024年，我們對24個關鍵部門的主要領導人進行了深入訪談，特別針對越秀地產的產品與客研中心、資本經營部、成本招採中心、工程技術中心、戰略投資中心等，分析了上年度的關鍵氣候物理及轉型風險，並規劃了應對措施。此次評估旨在全面了解各部門在面對氣候風險時的脆弱性，並制定科學的應對策略。通過與各部門領導人的交流，我們識別出對業務運營具有重大影響的風險，為制定有效的風險管理措施提供基礎。此外，業務部門負責人評估了風險及機遇的促成因素，包括現行及計劃中的措施和管控措施，並分析了這些風險對財務表現的潛在影響。我們將評估結果納入精算風險模型，以預測氣候相關風險的潛在影響程度，並最終對氣候風險進行了優先級排序。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
65,hkex_c2_22,Strategy and decision-making,3.0,4,,,lexical,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,3,自2023年起，我們向董事及高級管理層發放了評估問卷，以定量和定性地評估氣候相關風險。2024年，我們對24個關鍵部門的主要領導人進行了深入訪談，特別針對越秀地產的產品與客研中心、資本經營部、成本招採中心、工程技術中心、戰略投資中心等，分析了上年度的關鍵氣候物理及轉型風險，並規劃了應對措施。此次評估旨在全面了解各部門在面對氣候風險時的脆弱性，並制定科學的應對策略。通過與各部門領導人的交流，我們識別出對業務運營具有重大影響的風險，為制定有效的風險管理措施提供基礎。此外，業務部門負責人評估了風險及機遇的促成因素，包括現行及計劃中的措施和管控措施，並分析了這些風險對財務表現的潛在影響。我們將評估結果納入精算風險模型，以預測氣候相關風險的潛在影響程度，並最終對氣候風險進行了優先級排序。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
65,hkex_c2_27,Risk management,3.0,5,0.007794,3,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0004.md,3,自2023年起，我們向董事及高級管理層發放了評估問卷，以定量和定性地評估氣候相關風險。2024年，我們對24個關鍵部門的主要領導人進行了深入訪談，特別針對越秀地產的產品與客研中心、資本經營部、成本招採中心、工程技術中心、戰略投資中心等，分析了上年度的關鍵氣候物理及轉型風險，並規劃了應對措施。此次評估旨在全面了解各部門在面對氣候風險時的脆弱性，並制定科學的應對策略。通過與各部門領導人的交流，我們識別出對業務運營具有重大影響的風險，為制定有效的風險管理措施提供基礎。此外，業務部門負責人評估了風險及機遇的促成因素，包括現行及計劃中的措施和管控措施，並分析了這些風險對財務表現的潛在影響。我們將評估結果納入精算風險模型，以預測氣候相關風險的潛在影響程度，並最終對氣候風險進行了優先級排序。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
66,gri_201_2,Financial implications and other risks and opportunities due to climate change,3.0,1,0.013712,1,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0005.md,15,轉型風險,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
66,gri_305_1,Direct (Scope 1) GHG emissions,,,0.001353,5,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0005.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
66,gri_3_3,Management of material topics,,,0.002135,4,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0005.md,,,no_direct_text_match,reject_candidate,该页主要是风险影响表，缺少管理政策、行动、目标或有效性内容。
66,hkex_c2_20,Climate-related risks and opportunities,3.0,2,0.012627,2,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0005.md,15,轉型風險,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
66,hkex_c2_27,Risk management,,,0.002299,3,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0005.md,,,no_direct_text_match,uncertain,续页表格列出风险影响，但未单独证明风险管理流程。
67,gri_201_2,Financial implications and other risks and opportunities due to climate change,,,0.005672,1,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0006.md,,,no_direct_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
67,gri_305_1,Direct (Scope 1) GHG emissions,,,0.000529,5,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0006.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
67,gri_3_3,Management of material topics,,,0.002697,4,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0006.md,,,no_direct_text_match,reject_candidate,该页主要是风险影响表，缺少管理政策、行动、目标或有效性内容。
67,hkex_c2_20,Climate-related risks and opportunities,,,0.005485,2,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0006.md,,,no_direct_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
67,hkex_c2_27,Risk management,,,0.003005,3,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0006.md,,,no_direct_text_match,uncertain,续页表格列出风险影响，但未单独证明风险管理流程。
